source,target,weight
1142335718578106368,1142335718578106368,9
1142335718578106368,1142354059959123968,7
1142335718578106368,1142358070611324929,7
1142335718578106368,1142362675877502976,1
1142335718578106368,1142417031876104192,1
1142335718578106368,1142519481022976000,1
1142335718578106368,1142529737677516802,1
1142335718578106368,1142674800529354752,1
1142335718578106368,1142862753977290752,1
1142335718578106368,1142865642351136768,1
1142335718578106368,1142885064348504064,1
1142335718578106368,1142905867064545281,1
1142335718578106368,1143089883734560768,1
1142335718578106368,1143147666492276736,1
1142335718578106368,1143152426083479553,1
1142335718578106368,1143181916541267973,1
1142335718578106368,1143210469097914370,1
1142335718578106368,1143393737269288960,1
1142335718578106368,1143514054050422785,1
1142335718578106368,1143613763645575168,1
1142335718578106368,1143622307648299013,1
1142335718578106368,1143792227736592384,1
1142335718578106368,1143824463907082240,1
1142335718578106368,1144075999925157888,1
1142335718578106368,1144294672292036608,1
1142335718578106368,1144392689321959424,1
1142335718578106368,1144567829267529728,6
1142335718578106368,1144571508771164162,6
1142335718578106368,1144572671059005440,6
1142335718578106368,1144574131091980293,6
1142335718578106368,1144574613164363776,6
1142335718578106368,1144579689140432897,6
1142335718578106368,1144583740879978497,6
1142335718578106368,1144613436179062784,6
1142335718578106368,1144688130689290241,1
1142335718578106368,1144867769499955207,6
1142335718578106368,1144882152544382976,1
1142335718578106368,1145581637738086402,1
1142335718578106368,1145584776444895233,1
1142335718578106368,1145587779742707712,1
1142335718578106368,1145631012778438656,1
1142335718578106368,1146283432806428673,1
1142335718578106368,1146497863695908865,1
1142335718578106368,1146680347746275328,1
1142335718578106368,1147611131495817217,1
1142335718578106368,1147812652422455296,6
1142335718578106368,1147823124320096259,1
1142335718578106368,1148001872852213761,1
1142335718578106368,1148152470855671809,1
1142335718578106368,1148310522716131328,1
1142335718578106368,1148613386504232960,1
1142335718578106368,1148633622196424704,1
1142335718578106368,1148870508043231232,1
1142335718578106368,1148958869328191489,1
1142335718578106368,1149280461329510401,1
1142335718578106368,1149714543867768832,1
1142335718578106368,1149767535782518785,1
1142335718578106368,1149840229207085062,1
1142335718578106368,1149954921489416192,1
1142335718578106368,1149992883853910016,6
1142335718578106368,1150018278036836352,6
1142335718578106368,1150022725852946433,6
1142335718578106368,1150042626072207360,5
1142335718578106368,1150075818107969536,1
1142335718578106368,1150354557295308801,1
1142335718578106368,1150426544726138881,1
1142335718578106368,1150722020965044224,4
1142335718578106368,1150881019542867968,1
1142335718578106368,1151051063631536128,1
1142335718578106368,1151474694790496256,3
1142335718578106368,1152113464871149568,1
1142335718578106368,1152240639129481216,1
1142335718578106368,1152250498025709574,1
1142335718578106368,1152300102381273094,1
1142335718578106368,1152448695029456896,1
1142335718578106368,1152844709964001281,1
1142335718578106368,1152862853654822912,1
1142335718578106368,1152885439952564224,1
1142335718578106368,1152895676486955008,1
1142335718578106368,1152896100501602304,1
1142335718578106368,1152942457522458624,6
1142335718578106368,1153033723580780544,1
1142335718578106368,1153047991441416194,1
1142335718578106368,1153332622296256512,1
1142335718578106368,1154026171350298635,1
1142335718578106368,1155441253439483904,1
1142335718578106368,1155469918017609734,1
1142335718578106368,1155481828008050695,1
1142335718578106368,1155491583036289025,1
1142335718578106368,1156520690922733568,1
1142335718578106368,1156520829590614016,1
1142335718578106368,1156642707315548160,1
1142335718578106368,1156660721582821376,1
1142335718578106368,1156678215793958912,1
1142335718578106368,1156801998328606720,1
1142335718578106368,1157227046591959040,1
1142335718578106368,1157271221236617216,1
1142335718578106368,1157555317778964480,1
1142335718578106368,1157618079716773888,1
1142335718578106368,1158038921047093248,1
1142335718578106368,1158049051855728646,1
1142335718578106368,1158065924987129857,1
1142335718578106368,1158087143190880257,1
1142335718578106368,1158091554692706305,1
1142335718578106368,1158264954476224512,1
1142335718578106368,1158370170538201092,1
1142335718578106368,1158452885983772679,1
1142335718578106368,1159109073612226565,2
1142335718578106368,1159111804108361728,1
1142335718578106368,1159111909628698625,1
1142335718578106368,1159182019307429889,1
1142335718578106368,1159452678088474625,1
1142335718578106368,1159822335752454145,1
1142335718578106368,1160660939970101248,1
1142335718578106368,1161557579895644160,1
1142335718578106368,1161976975726018561,1
1142335718578106368,1162294109555609600,1
1142335718578106368,1162796841769021440,4
1142335718578106368,1163011472290734080,1
1142335718578106368,1163020229087244288,1
1142335718578106368,1163037621926469632,1
1142335718578106368,1163343223835828224,1
1142335718578106368,1163348421215969280,1
1142335718578106368,1164356359380459520,1
1142335718578106368,1165201393503756288,1
1142335718578106368,1168037637430620160,3
1142335718578106368,1168426673282453505,5
1142335718578106368,1168439314897887232,5
1142335718578106368,1168651253951467522,1
1142335718578106368,1168717762618953728,1
1142335718578106368,1168807395709149184,1
1142335718578106368,1180851810409598981,1
1142335718578106368,1181544257380855810,1
1142335718578106368,1181973934813716480,1
1142335718578106368,1182509611800236033,1
1142335718578106368,1183408519296540676,6
1142335718578106368,1183653334533791744,5
1142335718578106368,1184303485728296960,1
1142335718578106368,1186585406306836480,1
1142335718578106368,1186710880798543873,1
1142335718578106368,1186939829818482688,1
1142335718578106368,1186961995205107717,6
1142335718578106368,1186967220196380673,6
1142335718578106368,1186975216666365952,5
1142335718578106368,1186976443567411201,6
1142335718578106368,1187349162767114240,6
1142335718578106368,1187352787404951552,6
1142335718578106368,1187361540451774466,6
1142335718578106368,1187378288085340162,6
1142335718578106368,1187446061792669697,6
1142335718578106368,1187801286298632192,1
1142335718578106368,1187833346371526657,1
1142335718578106368,1189149014798819328,1
1142335718578106368,1189479573789933569,1
1142335718578106368,1189515202145988609,1
1142335718578106368,1189800541339209728,1
1142335718578106368,1201478361681420294,1
1142335718578106368,1202208293478785024,1
1142335718578106368,1202269481218826240,1
1142335718578106368,1202879370316132352,1
1142335718578106368,1204334058198704128,1
1142335718578106368,1204965814832652288,1
1142335718578106368,1205146767538282498,1
1142335718578106368,1205179473013944321,1
1142335718578106368,1205939996810784768,1
1142335718578106368,1205947827152662528,1
1142335718578106368,1205974553853386752,1
1142335718578106368,1206178735805882369,1
1142335718578106368,1206184434061447168,1
1142335718578106368,1206197515781062656,1
1142335718578106368,1206486758042619904,1
1142335718578106368,1206794452561383424,1
1142335718578106368,1207974271693266944,1
1142335718578106368,1209293615287144449,1
1142335718578106368,1210434390402179072,1
1142335718578106368,1211663400922574849,1
1142335718578106368,1211700055603855360,1
1142335718578106368,1212064761300566017,1
1142335718578106368,1212077699281371137,1
1142335718578106368,1212343654813175808,1
1142335718578106368,1212521395638304768,1
1142335718578106368,1213409121812275205,1
1142335718578106368,1214141790590316544,1
1142335718578106368,1215424743869964288,1
1142335718578106368,1216044826543775744,1
1142335718578106368,1216331347121311744,1
1142335718578106368,1216491123889311745,1
1142335718578106368,1217794630584098816,1
1142335718578106368,1218549505886343174,1
1142335718578106368,1219408899532394497,1
1142335718578106368,1220091488266223623,1
1142335718578106368,1220199144473735168,1
1142335718578106368,1220212626220818432,1
1142335718578106368,1220658667705503747,1
1142335718578106368,1221161969081712640,1
