node,class,score
5213,1,-0.999658724872104
8489,1,-1.9991098105486953
2740,1,-1.9996589902334676
4608,1,-2.999041202086776
8528,1,-2.9990989127282446
3578,1,-2.9996374787518105
9449,1,-3.0
9480,1,-3.0
9482,1,-3.0
9490,1,-3.0
8448,1,-3.9989156515527355
5532,1,-3.999360833255491
6466,1,-3.999587848356455
302,1,-3.999796357083093
7607,1,-4.998954171589693
7050,1,-4.999204664934772
442,1,-4.9992336057858955
7463,1,-4.999243677000119
120,1,-4.999324874218751
1065,1,-4.999414044663884
9040,1,-5.998669544850964
3180,1,-5.999008748200693
4260,1,-5.999144505590161
5999,1,-5.999627606871481
2664,1,-6.99819214506057
7167,1,-6.9988539970986015
8545,1,-6.999159747781339
8201,1,-6.999226322673939
8211,1,-6.999441932652163
4895,1,-7.99763659992455
2942,1,-7.998658152297609
4021,1,-7.998692402147396
1259,1,-7.9987286754982945
3162,1,-7.999168727325812
4918,1,-7.999210859966923
6397,1,-8.999454688268608
9972,1,-9.998598533337884
6701,1,-9.998672744328273
7816,1,-9.999284159693396
3935,1,-9.999334456160353
7415,1,-10.99681701918515
4879,1,-10.997773514978615
7091,1,-10.99895370632626
1269,1,-10.998955468770713
10711,1,-10.999110784134077
4220,1,-10.99930600998772
9828,1,-10.999626452765318
9460,1,-10.999750679999853
8825,1,-11.999064779790254
3810,1,-11.99915812134564
3837,1,-11.99916936213674
48,1,-11.999360814131883
1473,1,-12.9945909424371
3591,1,-12.99721919036021
1474,1,-12.997344122456616
3650,1,-12.998393818146349
10536,1,-12.998618828416367
7797,1,-12.998777482349187
9745,1,-12.999038479092851
9574,1,-12.999258049439648
6268,1,-13.998845594193222
9337,1,-13.999028768819901
114,1,-13.999345664607747
4065,1,-13.9996080734969
7844,1,-14.998264252826838
7437,1,-14.998338584266516
10244,1,-14.999166531426063
10239,1,-14.99919872614483
7722,1,-15.994568863075596
7148,1,-15.998278967401475
5175,1,-15.99851325630715
6386,1,-15.998830818871687
9314,1,-16.998446111474856
814,1,-16.998826325074166
5850,1,-16.99898843646514
716,1,-16.999159915977298
7910,1,-16.999186031926044
5186,1,-16.999347846093805
3855,1,-16.999589461585597
6191,1,-16.999592270419825
6199,1,-16.999592270419825
9791,1,-17.995127169560355
9286,1,-17.99721681169683
9029,1,-17.99750915582275
8926,1,-17.998111912809055
4464,1,-17.99824572002948
10421,1,-17.998312814419457
4233,1,-17.998565732310833
585,1,-17.998769680299706
6406,1,-17.99901421973991
8254,1,-17.999183879967628
10545,1,-17.999357434879183
5187,1,-17.999407435527697
9931,1,-18.99659196044782
9933,1,-18.997556307100844
5789,1,-18.99769753326889
4200,1,-18.998300912176145
9290,1,-18.998368830099732
10574,1,-18.998722391455907
6663,1,-18.99906923136866
10209,1,-18.999275517801056
3860,1,-18.99963779107459
3866,1,-18.999656575564824
2144,1,-19.998796320208
8408,1,-19.999168910909862
334,1,-19.999172778757174
3221,1,-20.995836133246872
5278,1,-20.996669654825965
8636,1,-20.99889427250031
3853,1,-20.999644276658092
3861,1,-20.999644276658092
8747,1,-21.997869783393224
2463,1,-21.99844841279824
7670,1,-21.99845427676782
8673,1,-21.998880180498087
5821,1,-21.99890884462269
3635,1,-21.99893692054973
5101,1,-21.998942016006758
2833,1,-21.99917004752873
3660,1,-22.996844673736227
4911,1,-22.997094367686735
7801,1,-22.997155263777387
3231,1,-22.997764354644982
9557,1,-22.998224065631767
462,1,-22.99823420475784
2841,1,-22.999032105024526
5620,1,-22.99903780810069
9838,1,-22.99907688655527
10871,1,-22.999568685788006
6541,1,-23.99835240297696
6649,1,-23.99881919709976
3613,1,-24.99780412067643
1840,1,-24.99821712183267
3370,1,-24.998422036222134
10224,1,-24.99858892676764
6679,1,-24.99880042182927
8650,1,-24.998892405911665
9450,1,-24.9992798854291
5005,1,-24.99929927472807
8664,1,-24.999382962130394
5528,1,-25.99611377176542
4491,1,-25.997865656465596
4675,1,-25.997916390074394
4128,1,-25.997962994769022
6555,1,-25.998397966810135
10410,1,-25.99840129394844
4140,1,-25.998534783878778
5856,1,-25.998706522530206
6407,1,-26.995482957408658
9034,1,-26.99638168891977
8936,1,-26.996512647717594
571,1,-26.996807784952168
10034,1,-26.997015561243302
9780,1,-26.997566023682385
8256,1,-26.997961352105566
881,1,-26.998535961541158
907,1,-26.998535961541158
4108,1,-26.999059912936527
9509,1,-26.999160299856555
1222,1,-27.99687211807321
5032,1,-27.997846965357176
4098,1,-27.99852505492953
8131,1,-27.998564317971383
6208,1,-27.999244996197415
10702,1,-28.99717536866548
6654,1,-28.99766506220535
3598,1,-28.998387340941054
5791,1,-28.998520003700637
10543,1,-28.998658443054673
5996,1,-28.9993749309887
6023,1,-28.9993749309887
8287,1,-29.996114403256684
10544,1,-29.996199490196215
8218,1,-29.9967656865284
4253,1,-29.997724340232388
4463,1,-29.998091792643002
6756,1,-29.99845648878678
8690,1,-29.99852196183535
9401,1,-29.998850078569678
2545,1,-29.99914962279959
940,1,-30.99557715822339
443,1,-30.9965631990641
4225,1,-30.998033552140146
3376,1,-30.998216203607146
364,1,-30.998485922769216
9435,1,-30.9985840366478
5210,1,-30.998884611720303
5998,1,-30.999044229322948
6030,1,-30.999044229322948
6034,1,-30.999044229322948
801,1,-31.997583245950942
10601,1,-31.9976469182419
5567,1,-31.99852580781973
2879,1,-31.998565401518732
2612,1,-31.99881919621016
9757,1,-31.998926886743387
4996,1,-31.999092215079727
10840,1,-31.999355224710662
9361,1,-32.99511823343516
9263,1,-32.99542923336785
10412,1,-32.99579347058395
8237,1,-32.99648657165347
7642,1,-32.997257831608806
3397,1,-32.99735474347007
2027,1,-32.99779895157419
2535,1,-32.99877454855916
4391,1,-32.99898541150087
2400,1,-33.99658718631036
10296,1,-33.99677330711347
10433,1,-33.996954018009035
10366,1,-33.99704259405636
8406,1,-33.99844729115282
2822,1,-33.9984511078736
2530,1,-33.99847679901477
600,1,-33.99865189546551
630,1,-33.99865189546551
2159,1,-33.99892340207466
2723,1,-34.995223688722916
10524,1,-34.99625248387285
9683,1,-34.99700753393928
2820,1,-34.99742296494709
340,1,-34.99783449991505
6312,1,-34.99822068907887
3057,1,-34.99833899476168
6140,1,-34.99840612318806
3270,1,-34.99843630323358
5612,1,-34.9987667806798
5628,1,-34.9987667806798
4378,1,-34.99878059632877
4970,1,-34.998791803145146
6165,1,-34.99887894938554
6181,1,-34.99887894938554
8606,1,-34.998902280463405
8633,1,-34.998902280463405
8640,1,-34.999319174782954
3640,1,-35.99531422421855
6828,1,-35.99540084401699
6396,1,-35.99624814600322
6415,1,-35.99624814600322
2063,1,-35.99691715184923
6326,1,-35.99716005296218
10315,1,-35.99745379520298
5873,1,-35.997575375486406
10102,1,-35.997613906107674
8935,1,-35.9977638636969
6391,1,-35.998132594111304
10692,1,-35.998625134913794
10843,1,-35.998642771922206
4264,1,-36.995227168788134
5705,1,-36.99655976775145
2194,1,-36.99666593658113
3319,1,-36.997638287059345
10552,1,-36.99792414446481
6230,1,-36.998424325698906
19,1,-36.99861063184072
10130,1,-36.998768589189
6271,1,-37.99587848472809
9589,1,-37.99591081425381
6434,1,-37.99599250090134
6967,1,-37.9964166990714
4274,1,-37.99692934984049
9826,1,-37.99716362511647
2832,1,-37.99781222454585
8285,1,-37.99800452150638
2015,1,-37.998385642121676
2527,1,-37.99877881714422
6394,1,-38.990716181210836
410,1,-38.993976089180016
5079,1,-38.996408703886225
4697,1,-38.99748611373143
2851,1,-38.998492545048194
4172,1,-39.991887004261216
2780,1,-39.99359059279118
3724,1,-39.99508082935626
8110,1,-39.99716564304129
5638,1,-39.99749748535301
6050,1,-39.998190678561095
714,1,-39.99853665420193
2510,1,-39.99911906719565
