node,class,score
1,1,2.656663135409081e-05
62,0,-5.1753961329899505e-05
121,1,5.600007401367486e-05
341,0,-2.8681545930356686e-05
349,0,-8.395919844855441e-05
389,0,-4.75323313094357e-05
413,0,-5.010349332379766e-05
446,0,-7.158688924904942e-06
484,0,-4.093905320151045e-05
659,1,0.0001364420654001255
677,1,0.00017359061225140696
680,1,0.00013533378676187439
739,1,5.1496915006435485e-05
903,0,-3.4206677374298794e-05
905,1,3.5764364247860774e-05
983,0,-5.814524902736284e-05
1104,0,-9.336382521924933e-06
1130,0,-2.2573361022051374e-05
1173,0,-2.8580532949010974e-05
1206,0,-6.020779708350441e-05
1237,0,-0.00027425336688236636
1294,1,-0.0003822980327746169
1368,0,-3.6604180121165945e-05
1501,0,-2.740764068660345e-05
1585,1,8.838527530393884e-05
1590,1,7.290217636747142e-05
1609,0,-6.600608922272729e-05
1621,1,0.00010342951468809443
1666,0,-6.248991231560898e-05
1718,1,-0.00014453363262882088
1759,1,0.00020092311810651045
1883,1,-0.0004137786119708998
2074,0,-4.7193986614383806e-05
2125,1,7.205526314442159e-06
2141,1,-7.140130852603335e-05
2172,1,2.2841344223135788e-05
2177,1,5.5416995809676065e-05
2349,0,-4.839973139242949e-05
2358,1,2.0169508373984053e-05
2359,0,-4.180333151195014e-05
2375,1,5.626021600729699e-06
2417,0,-4.8624338377295483e-05
2453,0,-4.1136669142330935e-05
2505,1,5.791317670578481e-06
2633,1,3.213192856625059e-05
2761,0,9.238381232523597e-05
2782,1,-0.00043112328813113944
2783,0,-4.820969049729767e-05
2843,0,-1.8742355855511248e-05
2853,0,-6.517889278216671e-05
2877,0,-4.65327163153552e-05
2890,0,-2.919797428697464e-05
2891,1,-8.244848652443795e-06
2947,0,-4.9699213945285234e-05
2952,0,-5.215919326606979e-05
3036,0,-3.5622538595676974e-05
3038,1,5.6817532361750584e-05
3072,1,3.1155666852367755e-05
3089,1,-0.00016092240909797024
3181,0,-6.21948794538561e-05
3225,0,-2.1151604508028624e-05
3241,0,-6.028793470867344e-05
3245,0,-6.971655167820116e-05
3260,0,-4.5691776761408104e-05
3368,1,-1.9959573849267587e-06
